id,drought_stress_factor_1_to_5,growth_scenario,market_gravity
1_0,2,high_growth,0
1_1,2,high_growth,0
1_2,2,high_growth,0
1_3,2,high_growth,0
1_4,2,high_growth,0
1_5,1,high_growth,0
1_6,1,high_growth,0
1_7,1,high_growth,0
1_8,1,high_growth,0
4_0,1,high_growth,0
4_1,1,high_growth,0
4_10,4,high_growth,0
4_11,1,high_growth,0
4_12,4,high_growth,0
4_13,4,high_growth,0
4_14,5,high_growth,0
4_15,5,high_growth,0
4_16,1,high_growth,0
4_17,1,high_growth,0
4_18,4,high_growth,0
4_19,4,high_growth,0
4_2,1,high_growth,0
4_20,4,high_growth,0
4_21,4,high_growth,0
4_22,5,high_growth,0
4_23,5,high_growth,0
4_24,5,high_growth,0
4_25,5,high_growth,0
4_26,1,high_growth,0
4_27,1,high_growth,0
4_28,1,high_growth,0
4_29,4,high_growth,0
4_3,1,high_growth,0
4_30,4,high_growth,0
4_31,4,high_growth,0
4_32,5,high_growth,0
4_33,5,high_growth,0
4_34,5,high_growth,0
4_35,5,high_growth,0
4_36,5,high_growth,0
4_37,5,high_growth,0
4_4,1,high_growth,0
4_5,1,high_growth,0
4_6,1,high_growth,0
4_7,4,high_growth,0
4_8,4,high_growth,0
4_9,4,high_growth,0
6_0,1,high_growth,0
6_1,3,high_growth,0
6_10,3,high_growth,0
6_11,3,high_growth,0
6_12,3,high_growth,0
6_13,3,high_growth,0
6_14,3,high_growth,0
6_15,2,high_growth,0
6_16,2,high_growth,0
6_17,2,high_growth,0
6_18,2,high_growth,0
6_19,2,high_growth,0
6_2,3,high_growth,0
6_20,2,high_growth,0
6_21,5,high_growth,0
6_22,5,high_growth,0
6_23,5,high_growth,0
6_24,5,high_growth,0
6_25,5,high_growth,0
6_26,2,high_growth,0
6_27,2,high_growth,0
6_28,2,high_growth,0
6_29,3,high_growth,0
6_3,3,high_growth,0
6_30,2,high_growth,0
6_31,3,high_growth,0
6_32,3,high_growth,0
6_33,3,high_growth,0
6_34,3,high_growth,0
6_35,3,high_growth,0
6_36,3,high_growth,0
6_37,3,high_growth,0
6_38,3,high_growth,0
6_39,3,high_growth,0
6_4,3,high_growth,0
6_40,3,high_growth,0
6_41,3,high_growth,0
6_42,3,high_growth,0
6_43,3,high_growth,0
6_44,3,high_growth,0
6_45,3,high_growth,0
6_46,2,high_growth,0
6_47,2,high_growth,0
6_48,2,high_growth,0
6_49,2,high_growth,0
6_5,2,high_growth,0
6_50,2,high_growth,0
6_51,2,high_growth,0
6_52,1,high_growth,0
6_53,2,high_growth,0
6_54,2,high_growth,0
6_55,4,high_growth,0
6_6,3,high_growth,0
6_7,3,high_growth,0
6_8,3,high_growth,0
6_9,3,high_growth,0
8_0,4,high_growth,0
8_1,4,high_growth,0
8_2,4,high_growth,0
8_3,4,high_growth,0
8_4,4,high_growth,0
