id,drought_stress_factor_1_to_5,growth_scenario,market_gravity
1_0,2,moderate_growth,0
1_1,2,moderate_growth,0
1_2,2,moderate_growth,0
4_0,1,moderate_growth,0
4_1,1,moderate_growth,0
4_10,4,moderate_growth,0
4_11,1,moderate_growth,0
4_12,4,moderate_growth,0
4_13,4,moderate_growth,0
4_2,1,moderate_growth,0
4_3,1,moderate_growth,0
4_4,1,moderate_growth,0
4_5,1,moderate_growth,0
4_6,1,moderate_growth,0
4_7,4,moderate_growth,0
4_8,4,moderate_growth,0
4_9,4,moderate_growth,0
6_0,1,moderate_growth,0
6_1,3,moderate_growth,0
6_10,3,moderate_growth,0
6_11,3,moderate_growth,0
6_12,3,moderate_growth,0
6_13,3,moderate_growth,0
6_14,3,moderate_growth,0
6_15,2,moderate_growth,0
6_16,2,moderate_growth,0
6_17,2,moderate_growth,0
6_18,2,moderate_growth,0
6_19,2,moderate_growth,0
6_2,3,moderate_growth,0
6_20,2,moderate_growth,0
6_3,3,moderate_growth,0
6_4,3,moderate_growth,0
6_5,2,moderate_growth,0
6_6,3,moderate_growth,0
6_7,3,moderate_growth,0
6_8,3,moderate_growth,0
6_9,3,moderate_growth,0
8_0,4,moderate_growth,0
8_1,4,moderate_growth,0
8_2,4,moderate_growth,0
12_0,3,moderate_growth,0
12_1,3,moderate_growth,0
12_2,3,moderate_growth,0
13_0,1,moderate_growth,0
13_1,2,moderate_growth,0
13_10,1,moderate_growth,0
13_11,1,moderate_growth,0
13_12,1,moderate_growth,0
13_13,2,moderate_growth,0
13_2,1,moderate_growth,0
13_3,2,moderate_growth,0
13_4,2,moderate_growth,0
13_5,1,moderate_growth,0
13_6,2,moderate_growth,0
13_7,1,moderate_growth,0
13_8,1,moderate_growth,0
13_9,1,moderate_growth,0
17_0,1,moderate_growth,0
17_1,1,moderate_growth,0
17_10,1,moderate_growth,0
17_11,3,moderate_growth,0
17_12,3,moderate_growth,0
17_13,3,moderate_growth,0
17_14,3,moderate_growth,0
17_15,3,moderate_growth,0
17_2,1,moderate_growth,0
17_3,1,moderate_growth,0
17_4,1,moderate_growth,0
17_5,1,moderate_growth,0
17_6,1,moderate_growth,0
17_7,1,moderate_growth,0
17_8,1,moderate_growth,0
17_9,1,moderate_growth,0
19_0,1,moderate_growth,0
19_1,1,moderate_growth,0
19_10,1,moderate_growth,0
19_11,1,moderate_growth,0
19_12,1,moderate_growth,0
19_13,1,moderate_growth,0
19_2,1,moderate_growth,0
19_3,1,moderate_growth,0
19_4,1,moderate_growth,0
19_5,1,moderate_growth,0
19_6,4,moderate_growth,0
19_7,1,moderate_growth,0
19_8,1,moderate_growth,0
19_9,1,moderate_growth,0
21_0,1,moderate_growth,0
21_1,5,moderate_growth,0
21_2,1,moderate_growth,0
25_0,2,moderate_growth,0
25_1,3,moderate_growth,0
26_0,1,moderate_growth,0
27_0,5,moderate_growth,0
29_0,4,moderate_growth,0
29_1,2,moderate_growth,0
30_0,2,moderate_growth,0
31_0,2,moderate_growth,0
31_1,1,moderate_growth,0
31_2,2,moderate_growth,0
31_3,2,moderate_growth,0
31_4,1,moderate_growth,0
31_5,1,moderate_growth,0
31_6,1,moderate_growth,0
31_7,2,moderate_growth,0
32_0,1,moderate_growth,0
32_1,4,moderate_growth,0
32_2,4,moderate_growth,0
32_3,4,moderate_growth,0
32_4,4,moderate_growth,0
32_5,4,moderate_growth,0
32_6,4,moderate_growth,0
34_0,5,moderate_growth,0
34_1,4,moderate_growth,0
34_2,4,moderate_growth,0
34_3,4,moderate_growth,0
34_4,3,moderate_growth,0
34_5,3,moderate_growth,0
34_6,3,moderate_growth,0
34_7,3,moderate_growth,0
34_8,3,moderate_growth,0
36_0,1,moderate_growth,0
36_1,1,moderate_growth,0
36_2,1,moderate_growth,0
36_3,1,moderate_growth,0
36_4,1,moderate_growth,0
36_5,1,moderate_growth,0
36_6,1,moderate_growth,0
36_7,1,moderate_growth,0
36_8,1,moderate_growth,0
37_0,4,moderate_growth,0
37_1,4,moderate_growth,0
37_2,4,moderate_growth,0
37_3,4,moderate_growth,0
37_4,4,moderate_growth,0
37_5,4,moderate_growth,0
38_0,2,moderate_growth,0
38_1,2,moderate_growth,0
38_2,2,moderate_growth,0
38_3,1,moderate_growth,0
38_4,1,moderate_growth,0
